"REF_AREA","INDICATOR","SEX","TIME_PERIOD","OBS_VALUE","UNIT_MULTIPLIER","UNIT_MEASURE","OBS_STATUS","OBS_CONF","DATA_SOURCE","TIME_PERIOD_METHOD","COVERAGE_TIME","AGE","OBS_FOOTNOTE","SOURCE_LINK"
"SDGRC_ECA_CA","MNCH_ANC4","_T","2018","54","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_CA","MNCH_ANC4","_T","2019","54.6","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_CA","MNCH_ANC4","_T","2020","55.3","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_CA","MNCH_ANC4","_T","2021","55.9","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_CA","MNCH_ANC4","_T","2022","56.6","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_CA","MNCH_SAB","_T","2018","59.8","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_CA","MNCH_SAB","_T","2019","62","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_CA","MNCH_SAB","_T","2020","64","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_CA","MNCH_SAB","_T","2021","65.9","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_CA","MNCH_SAB","_T","2022","67.6","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_EA","MNCH_ANC4","_T","2018","46.9","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_EA","MNCH_ANC4","_T","2019","48.1","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_EA","MNCH_ANC4","_T","2020","49.1","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_EA","MNCH_ANC4","_T","2021","50.4","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_EA","MNCH_ANC4","_T","2022","51.4","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_EA","MNCH_SAB","_T","2018","65.8","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_EA","MNCH_SAB","_T","2019","68.9","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_EA","MNCH_SAB","_T","2020","71.8","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_EA","MNCH_SAB","_T","2021","74.3","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_EA","MNCH_SAB","_T","2022","76.6","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_NA","MNCH_ANC4","_T","2018","71.7","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_NA","MNCH_ANC4","_T","2019","72.3","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_NA","MNCH_ANC4","_T","2020","73.2","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_NA","MNCH_ANC4","_T","2021","74","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_NA","MNCH_ANC4","_T","2022","75","0","PCNT","RA","F","Population weighted averages calculated by UNICEF using WPP2024 weights","EOF","2000-2023","Y15T49",NA,NA
"SDGRC_ECA_NA","MNCH_SAB","_T","2018","91.6","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_NA","MNCH_SAB","_T","2019","92.3","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_NA","MNCH_SAB","_T","2020","92.9","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
"SDGRC_ECA_NA","MNCH_SAB","_T","2021","93.4","0","PCNT","RA","F","Joint UNICEF-WHO Database on Skilled Birth Attendance 2024","EOF","2000-2023","Y15T49","Estimate based on Joint UNICEF-WHO Database on Skilled Birth Attendance 2024",NA
